slug,title,year,rating
turning-red,"Turning Red",2022,3.5
texas-chainsaw-massacre,"Texas Chainsaw Massacre",2022,2
the-path-2022,"The Path",2022,3
uncharted-2022,"Uncharted",2022,2.5
blacklight,"Blacklight",2022,1.5
death-on-the-nile-2022,"Death on the Nile",2022,2.5
wonderfully-beautiful,"Wonderfully Beautiful",2022,3
marry-me-2022,"Marry Me",2022,2
moonfall,"Moonfall",2022,1.5
home-team-2022,"Home Team",2022,2
piggy-2022,"Piggy",2022,2.5
cha-cha-real-smooth,"Cha Cha Real Smooth",2022,4
hatching,"Hatching",2022,3
speak-no-evil-2022,"Speak No Evil",2022,3.5
fresh-2022,"Fresh",2022,4
the-house-2022-1,"The House",2022,3
hotel-transylvania-transformania,"Hotel Transylvania: Transformania",2022,2
scream-2022,"Scream",2022,1.5
the-355,"The 355",2022,1.5
nightmare-alley-2021,"Nightmare Alley",2021,4
licorice-pizza,"Licorice Pizza",2021,4
sing-2,"Sing 2",2021,3
swan-song-2021-1,"Swan Song",2021,3
the-shadow-in-my-eye,"The Shadow in My Eye",2021,3.5
the-black-phone,"The Black Phone",2021,3.5
the-tragedy-of-macbeth,"The Tragedy of Macbeth",2021,3.5
the-good-boss,"The Good Boss",2021,3
the-eyes-of-tammy-faye-2021,"The Eyes of Tammy Faye",2021,3
copshop,"Copshop",2021,3
freaks-out,"Freaks Out",2021,3
spencer-2021,"Spencer",2021,3.5
cyrano-2021,"Cyrano",2021,3
belfast,"Belfast",2021,3
cmon-cmon,"C'mon C'mon",2021,3.5
the-electrical-life-of-louis-wain,"The Electrical Life of Louis Wain",2021,3
belle-2021,"Belle",2021,3.5
red-rocket-2021,"Red Rocket",2021,4
where-is-anne-frank,"Where Is Anne Frank",2021,3
snotty-boy,"Snotty Boy",2021,1.5
the-deer-king,"The Deer King",2021,2.5
calls-2021-1,"Calls",2021,4
nobody-2021,"Nobody",2021,2.5
pleasure-2021,"Pleasure",2021,3.5
the-sadness-2021,"The Sadness",2021,3.5
children-of-the-corn-2020,"Children of the Corn",2020,1
killer-sofa,"Killer Sofa",2019,2.5
the-velocipastor,"The VelociPastor",2017,4
terrifier-2016,"Terrifier",2016,1.5
train-to-busan,"Train to Busan",2016,4
the-lobster,"The Lobster",2015,4
titanic-ii,"Titanic II",2010,0.5
grizzly-man,"Grizzly Man",2005,3.5
frankenfish,"Frankenfish",2004,3
kill-bill-the-whole-bloody-affair,"Kill Bill: The Whole Bloody Affair",2004,5
spider-man,"Spider-Man",2002,3.5
the-thin-red-line,"The Thin Red Line",1998,5
rush-hour,"Rush Hour",1998,3
scream-2,"Scream 2",1997,2.5
perfect-blue,"Perfect Blue",1997,4
anaconda,"Anaconda",1997,2
scream,"Scream",1996,4
jumanji,"Jumanji",1995,3.5
the-crow,"The Crow",1994,4
hot-shots,"Hot Shots!",1991,3
misery,"Misery",1990,4
the-naked-gun-from-the-files-of-police-squad,"The Naked Gun: From the Files of Police Squad!",1988,4
akira,"Akira",1988,4
beetlejuice,"Beetlejuice",1988,4
the-running-man,"The Running Man",1987,2
top-gun,"Top Gun",1986,3
the-toxic-avenger,"The Toxic Avenger",1984,3.5
the-omen,"The Omen",1976,3.5
she-said-2022,"She Said",2022,4
bardo-false-chronicle-of-a-handful-of-truths,"BARDO, False Chronicle of a Handful of Truths",2022,4
she-hulk-attorney-at-law,"She-Hulk: Attorney at Law",2022,2.5
the-next-365-days,"The Next 365 Days",2022,0.5
obi-wan-kenobi,"Obi-Wan Kenobi",2022,2.5
beast-2022,"Beast",2022,2
moon-knight-2022,"Moon Knight",2022,3
deep-water-2022,"Deep Water",2022,2.5
pam-tommy,"Pam & Tommy",2022,3.5
the-matrix-resurrections,"The Matrix Resurrections",2021,2.5
spider-man-no-way-home,"Spider-Man: No Way Home",2021,4
the-kings-man,"The King's Man",2021,2
dont-look-up-2021,"Don't Look Up",2021,4.5
west-side-story-2021,"West Side Story",2021,3
hawkeye-2021,"Hawkeye",2021,3
the-unforgivable,"The Unforgivable",2021,3.5
resident-evil-welcome-to-raccoon-city,"Resident Evil: Welcome to Raccoon City",2021,1.5
a-boy-called-christmas,"A Boy Called Christmas",2021,3
home-sweet-home-alone,"Home Sweet Home Alone",2021,0.5
tick-tick-boom-2021,"tick, tick... BOOM!",2021,4
house-of-gucci,"House of Gucci",2021,3
red-notice,"Red Notice",2021,1.5
finch,"Finch",2021,3
army-of-thieves,"Army of Thieves",2021,2
eternals,"Eternals",2021,2
fly-2021,"Fly",2021,2.5
encanto,"Encanto",2021,3
antlers,"Antlers",2021,3
rons-gone-wrong,"Ron's Gone Wrong",2021,3.5
the-harder-they-fall-2021,"The Harder They Fall",2021,3
the-addams-family-2,"The Addams Family 2",2021,2
no-time-to-die-2021,"No Time to Die",2021,3.5
chess-story-2021,"Chess Story",2021,3.5
squid-game,"Squid Game",2021,3.5
venom-let-there-be-carnage,"Venom: Let There Be Carnage",2021,2
the-last-duel-2021,"The Last Duel",2021,3.5
the-guilty-2021,"The Guilty",2021,3
prey-2021,"Prey",2021,1.5
kate,"Kate",2021,2.5
dear-evan-hansen,"Dear Evan Hansen",2021,3
the-starling,"The Starling",2021,2
halloween-kills,"Halloween Kills",2021,2
last-night-in-soho,"Last Night in Soho",2021,3.5
dune-2021,"Dune",2021,5
king-richard,"King Richard",2021,4
the-power-of-the-dog,"The Power of the Dog",2021,3
after-we-fell,"After We Fell",2021,1.5
hes-all-that,"He's All That",2021,1.5
ghostbusters-afterlife,"Ghostbusters: Afterlife",2021,4
candyman-2021,"Candyman",2021,3.5
sweet-girl,"Sweet Girl",2021,1.5
reminiscence-2021,"Reminiscence",2021,2.5
shang-chi-and-the-legend-of-the-ten-rings,"Shang-Chi and the Legend of the Ten Rings",2021,3.5
respect-2021,"Respect",2021,3
free-guy,"Free Guy",2021,3.5
the-green-knight,"The Green Knight",2021,2.5
the-suicide-squad,"The Suicide Squad",2021,3.5
batman-the-long-halloween-part-two,"Batman: The Long Halloween, Part Two",2021,3
jungle-cruise,"Jungle Cruise",2021,2.5
snake-eyes-gi-joe-origins,"Snake Eyes: G.I. Joe Origins",2021,2
old-2021,"Old",2021,1
gunpowder-milkshake,"Gunpowder Milkshake",2021,2
lamb-2021,"Lamb",2021,3
pig-2021,"Pig",2021,4
titane,"Titane",2021,3
the-french-dispatch-of-the-liberty-kansas,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,3.5
stillwater-2021,"Stillwater",2021,4
blood-red-sky,"Blood Red Sky",2021,1.5
space-jam-a-new-legacy,"Space Jam: A New Legacy",2021,1.5
the-boss-baby-family-business,"The Boss Baby: Family Business",2021,2
escape-room-tournament-of-champions,"Escape Room: Tournament of Champions",2021,3
catweazle-2021,"Catweazle",2021,1.5
the-forever-purge,"The Forever Purge",2021,2.5
the-tomorrow-war,"The Tomorrow War",2021,2
black-widow-2021,"Black Widow",2021,3.5
the-ice-road,"The Ice Road",2021,2
batman-the-long-halloween-part-one,"Batman: The Long Halloween, Part One",2021,3.5
fatherhood-2021,"Fatherhood",2021,2.5
hitmans-wifes-bodyguard,"Hitman's Wife's Bodyguard",2021,2
luca-2021,"Luca",2021,3.5
infinite-2021,"Infinite",2021,1
loki-2021,"Loki",2021,4
the-conjuring-the-devil-made-me-do-it,"The Conjuring: The Devil Made Me Do It",2021,2.5
f9,"F9",2021,2
cruella,"Cruella",2021,3.5
the-woman-in-the-window-2021,"The Woman in the Window",2021,2
spiral-from-the-book-of-saw,"Spiral: From the Book of Saw",2021,1.5
oxygen-2021,"Oxygen",2021,3
those-who-wish-me-dead,"Those Who Wish Me Dead",2021,2.5
things-heard-seen,"Things Heard & Seen",2021,2.5
the-mitchells-vs-the-machines,"The Mitchells vs. the Machines",2021,4.5
wrath-of-man,"Wrath of Man",2021,3
army-of-the-dead-2021,"Army of the Dead",2021,3
thunder-force,"Thunder Force",2021,1
mortal-kombat-2021,"Mortal Kombat",2021,2
peter-rabbit-2-the-runaway,"Peter Rabbit 2: The Runaway",2021,2.5
godzilla-vs-kong,"Godzilla vs. Kong",2021,2.5
the-falcon-and-the-winter-soldier,"The Falcon and the Winter Soldier",2021,3.5
zack-snyders-justice-league,"Zack Snyder's Justice League",2021,3
je-suis-karl,"Je suis Karl",2021,3
raya-and-the-last-dragon,"Raya and the Last Dragon",2021,3
eiffel,"Eiffel",2021,2.5
fabian-going-to-the-dogs,"Fabian: Going to the Dogs",2021,4
next-door-2021-1,"Next Door",2021,3.5
cherry-2021,"Cherry",2021,2.5
crisis-2021,"Crisis",2021,2
the-united-states-vs-billie-holiday,"The United States vs. Billie Holiday",2021,2.5
chaos-walking,"Chaos Walking",2021,2
boss-level,"Boss Level",2021,2.5
to-all-the-boys-always-and-forever,"To All the Boys: Always and Forever",2021,3.5
tom-jerry-2021,"Tom & Jerry",2021,1.5
bliss-2021,"Bliss",2021,2
judas-and-the-black-messiah,"Judas and the Black Messiah",2021,3.5
coda-2021,"CODA",2021,3.5
malcolm-marie,"Malcolm & Marie",2021,3
the-little-things-2021,"The Little Things",2021,2
wrong-turn-2021,"Wrong Turn",2021,1.5
wandavision,"WandaVision",2021,3.5
outside-the-wire,"Outside the Wire",2021,1.5
the-dig-2021,"The Dig",2021,4
the-white-tiger,"The White Tiger",2021,3.5
news-of-the-world,"News of the World",2020,3.5
wonder-woman-1984,"Wonder Woman 1984",2020,2
the-forgotten-battle,"The Forgotten Battle",2020,3
the-midnight-sky,"The Midnight Sky",2020,3
christmas-crossfire,"Christmas Crossfire",2020,3
monster-hunter-2020,"Monster Hunter",2020,1.5
the-prom-2020,"The Prom",2020,3
over-christmas,"Over Christmas",2020,3
ma-raineys-black-bottom,"Ma Rainey's Black Bottom",2020,4
the-croods-a-new-age,"The Croods: A New Age",2020,3.5
riders-of-justice,"Riders of Justice",2020,4
the-christmas-chronicles-part-two,"The Christmas Chronicles: Part Two",2020,2.5
mank,"Mank",2020,4
what-we-wanted,"What We Wanted",2020,3
hillbilly-elegy,"Hillbilly Elegy",2020,2.5
operation-christmas-drop,"Operation Christmas Drop",2020,2.5
holidate,"Holidate",2020,2.5
the-queens-gambit,"The Queen's Gambit",2020,5
borat-subsequent-moviefilm-delivery-of-prodigious,"Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",2020,3
the-empty-man,"The Empty Man",2020,3.5
earwig-and-the-witch,"Earwig and the Witch",2020,1.5
love-and-monsters,"Love and Monsters",2020,3.5
soul-2020,"Soul",2020,4.5
fatman,"Fatman",2020,2
hubie-halloween,"Hubie Halloween",2020,2
jim-button-and-the-wild-13,"Jim Button and the Wild 13",2020,3.5
the-trial-of-the-chicago-7,"The Trial of the Chicago 7",2020,4
enola-holmes,"Enola Holmes",2020,3
contra,"Contra",2020,3.5
hello-again-a-wedding-a-day,"Hello Again - A Wedding A Day",2020,3.5
percy-2020,"Percy",2020,3
oktoberfest-beer-and-blood,"Oktoberfest: Beer and Blood",2020,4
i-care-a-lot,"I Care a Lot",2020,3.5
wolfwalkers,"Wolfwalkers",2020,4.5
another-round,"Another Round",2020,4
the-devil-all-the-time,"The Devil All the Time",2020,3
nomadland,"Nomadland",2020,4.5
one-night-in-miami,"One Night in Miami...",2020,4
pieces-of-a-woman,"Pieces of a Woman",2020,4.5
honest-thief,"Honest Thief",2020,2.5
freaks-youre-one-of-us,"Freaks - You're One of Us",2020,2
im-thinking-of-ending-things,"I'm Thinking of Ending Things",2020,3.5
the-owners-2020,"The Owners",2020,2
sky-sharks,"Sky Sharks",2020,0.5
tenet,"Tenet",2020,5
sky-high-2020,"Sky High",2020,1.5
the-one-and-only-ivan,"The One and Only Ivan",2020,2
after-we-collided,"After We Collided",2020,2
project-power-2020,"Project Power",2020,2
the-spongebob-movie-sponge-on-the-run,"The SpongeBob Movie: Sponge on the Run",2020,3
the-eight-hundred,"The Eight Hundred",2020,3
deliver-us-from-evil-2020,"Deliver Us from Evil",2020,3
greenland,"Greenland",2020,3
unhinged-2020,"Unhinged",2020,3
into-the-beat,"Into the Beat",2020,2
the-old-guard-2020,"The Old Guard",2020,3.5
greyhound,"Greyhound",2020,3.5
the-secret-garden-2020,"The Secret Garden",2020,2.5
hamilton-2020,"Hamilton",2020,5
follow-me-2020,"Follow Me",2020,2
eurovision-song-contest-the-story-of-fire-saga,"Eurovision Song Contest: The Story of Fire Saga",2020,2.5
irresistible-2020,"Irresistible",2020,3.5
da-5-bloods,"Da 5 Bloods",2020,3
the-king-of-staten-island,"The King of Staten Island",2020,4.5
the-high-note,"The High Note",2020,3
artemis-fowl,"Artemis Fowl",2020,1
scoob,"Scoob!",2020,1.5
the-wrong-missy,"The Wrong Missy",2020,1.5
capone-2020,"Capone",2020,2
i-know-this-much-is-true,"I Know This Much Is True",2020,4.5
hollywood-2020,"Hollywood",2020,4.5
normal-people-2020,"Normal People",2020,4.5
defending-jacob,"Defending Jacob",2020,4.5
extraction-2020,"Extraction",2020,2
rising-high,"Rising High",2020,3
the-secret-dare-to-dream,"The Secret: Dare to Dream",2020,2
love-wedding-repeat,"Love Wedding Repeat",2020,3
the-new-mutants,"The New Mutants",2020,3
unorthodox-2020,"Unorthodox",2020,3.5
little-fires-everywhere,"Little Fires Everywhere",2020,4.5
trolls-world-tour,"Trolls World Tour",2020,2.5
the-hunt-2020,"The Hunt",2020,3
mulan-2020,"Mulan",2020,3
a-quiet-place-part-ii,"A Quiet Place Part II",2020,4
spenser-confidential,"Spenser Confidential",2020,2.5
bloodshot,"Bloodshot",2020,1.5
the-kangaroo-chronicles,"The Kangaroo Chronicles",2020,3.5
the-invisible-man-2020,"The Invisible Man",2020,3
siberia-2020,"Siberia",2020,2
onward-2020,"Onward",2020,4
brahms-the-boy-ii,"Brahms: The Boy II",2020,1.5
isi-ossi,"Isi & Ossi",2020,2.5
nightlife-2020,"Nightlife",2020,2.5
the-call-of-the-wild-2020,"The Call of the Wild",2020,2.5
emma-2020,"Emma.",2020,3.5
fantasy-island,"Fantasy Island",2020,1.5
the-photograph-2020,"The Photograph",2020,3
365-days-2020,"365 Days",2020,1
to-all-the-boys-ps-i-still-love-you,"To All the Boys: P.S. I Still Love You",2020,3.5
potato-salad-3-the-musical,"Potato Salad 3: The Musical",2020,2
gretel-hansel,"Gretel & Hansel",2020,2
the-last-thing-he-wanted,"The Last Thing He Wanted",2020,1.5
tesla-2020,"Tesla",2020,3
his-house,"His House",2020,3.5
the-father-2020,"The Father",2020,5
palm-springs-2020,"Palm Springs",2020,4
the-nest-2020,"The Nest",2020,3.5
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)",2020,2.5
sonic-the-hedgehog,"Sonic the Hedgehog",2020,2.5
promising-young-woman,"Promising Young Woman",2020,4
the-night-house,"The Night House",2020,3.5
never-rarely-sometimes-always,"Never Rarely Sometimes Always",2020,4.5
the-courier-2020,"The Courier",2020,3
the-wedding-2020,"The Wedding",2020,1
my-spy-2020,"My Spy",2020,2.5
bad-boys-for-life,"Bad Boys for Life",2020,3
underwater-2020,"Underwater",2020,2.5
dolittle,"Dolittle",2020,2
dracula-2020,"Dracula",2020,3.5
the-grudge-2019,"The Grudge",2019,1.5
star-wars-the-rise-of-skywalker,"Star Wars: The Rise of Skywalker",2019,3
cats-2019,"Cats",2019,2
bombshell-2019,"Bombshell",2019,3.5
little-women-2019,"Little Women",2019,5
jumanji-the-next-level,"Jumanji: The Next Level",2019,3
1917,"1917",2019,4
the-gentlemen,"The Gentlemen",2019,4.5
richard-jewell,"Richard Jewell",2019,4
queen-slim,"Queen & Slim",2019,3.5
charlies-angels-2019,"Charlie's Angels",2019,2
dark-waters-2019,"Dark Waters",2019,4
noelle-2019,"Noelle",2019,2
last-christmas-2019,"Last Christmas",2019,3
frozen-2,"Frozen II",2019,3.5
midway-2019,"Midway",2019,1.5
klaus,"Klaus",2019,4
the-perfect-secret,"The Perfect Secret",2019,2
21-bridges,"21 Bridges",2019,2
terminator-dark-fate,"Terminator: Dark Fate",2019,2
doctor-sleep,"Doctor Sleep",2019,3.5
the-best-is-yet-to-come-2019,"The Best Is Yet to Come",2019,3
watchmen-2019,"Watchmen",2019,4
ive-never-been-to-new-york,"I've Never Been to New York",2019,2.5
close-to-the-horizon,"Close to the Horizon",2019,3
the-addams-family-2019,"The Addams Family",2019,3
zombieland-double-tap,"Zombieland: Double Tap",2019,3.5
advantages-of-travelling-by-train,"Advantages of Travelling by Train",2019,3
exit-plan-2019,"Exit Plan",2019,2
gemini-man-2019,"Gemini Man",2019,1.5
maleficent-mistress-of-evil,"Maleficent: Mistress of Evil",2019,2
the-irishman-2019,"The Irishman",2019,5
the-mortuary-collection,"The Mortuary Collection",2019,3
rambo-last-blood,"Rambo: Last Blood",2019,2
undone-2019,"Undone",2019,4
harriet,"Harriet",2019,3
downton-abbey,"Downton Abbey",2019,3.5
guns-akimbo,"Guns Akimbo",2019,2
the-vigil,"The Vigil",2019,3
the-goldfinch,"The Goldfinch",2019,2.5
jojo-rabbit,"Jojo Rabbit",2019,4.5
abominable-2019,"Abominable",2019,3.5
knives-out-2019,"Knives Out",2019,4
a-beautiful-day-in-the-neighborhood,"A Beautiful Day in the Neighborhood",2019,4
proxima-2019,"Proxima",2019,3.5
hustlers-2019,"Hustlers",2019,3
just-mercy,"Just Mercy",2019,4
the-platform,"The Platform",2019,3.5
radioactive,"Radioactive",2019,2.5
blackbird-2019,"Blackbird",2019,3
sound-of-metal,"Sound of Metal",2019,4
the-king-2019,"The King",2019,3.5
the-two-popes,"The Two Popes",2019,4
joker-2019,"Joker",2019,4.5
ford-v-ferrari,"Ford v Ferrari",2019,4
uncut-gems,"Uncut Gems",2019,3.5
waves-2019,"Waves",2019,4
seberg,"Seberg",2019,3
ad-astra-2019,"Ad Astra",2019,4
marriage-story-2019,"Marriage Story",2019,4.5
pelican-blood-2019,"Pelican Blood",2019,3
angel-has-fallen,"Angel Has Fallen",2019,3
it-chapter-two,"It Chapter Two",2019,3
47-meters-down-uncaged,"47 Meters Down: Uncaged",2019,1.5
the-kitchen-2019,"The Kitchen",2019,2
scary-stories-to-tell-in-the-dark-2019,"Scary Stories to Tell in the Dark",2019,2.5
benjamin-the-elephant,"Benjamin the Elephant",2019,1
ready-or-not-2019,"Ready or Not",2019,3
abikalypse,"Abikalypse",2019,2
weathering-with-you,"Weathering with You",2019,3.5
the-wretched,"The Wretched",2019,2.5
fast-furious-presents-hobbs-shaw,"Fast & Furious Presents: Hobbs & Shaw",2019,3.5
crawl-2019,"Crawl",2019,3
the-lion-king-2019,"The Lion King",2019,3
golden-twenties,"Golden Twenties",2019,2
spider-man-far-from-home,"Spider-Man: Far From Home",2019,3.5
childs-play-2019,"Child's Play",2019,2.5
midsommar,"Midsommar",2019,3.5
annabelle-comes-home,"Annabelle Comes Home",2019,2.5
men-in-black-international,"Men in Black: International",2019,1.5
toy-story-4,"Toy Story 4",2019,4
playmobil-the-movie,"Playmobil: The Movie",2019,2
dark-phoenix,"Dark Phoenix",2019,3
when-they-see-us,"When They See Us",2019,4.5
godzilla-king-of-the-monsters-2019,"Godzilla: King of the Monsters",2019,2.5
murder-mystery,"Murder Mystery",2019,1.5
the-specials-2019,"The Specials",2019,1.5
once-upon-a-time-in-hollywood,"Once Upon a Time... in Hollywood",2019,4
parasite-2019,"Parasite",2019,4.5
the-lighthouse-2019,"The Lighthouse",2019,4
portrait-of-a-lady-on-fire,"Portrait of a Lady on Fire",2019,4
the-secret-life-of-pets-2,"The Secret Life of Pets 2",2019,3
little-joe-2019,"Little Joe",2019,1.5
the-climb-2019,"The Climb",2019,3.5
the-sun-is-also-a-star,"The Sun Is Also a Star",2019,2.5
rocketman-2019,"Rocketman",2019,4.5
the-dead-dont-die-2019,"The Dead Don't Die",2019,3.5
the-hustle-2019,"The Hustle",2019,2.5
john-wick-chapter-3-parabellum,"John Wick: Chapter 3 – Parabellum",2019,3.5
brightburn,"Brightburn",2019,2.5
aladdin-2019,"Aladdin",2019,3
chernobyl,"Chernobyl",2019,5
yesterday-2019,"Yesterday",2019,3
pokemon-detective-pikachu,"Pokémon Detective Pikachu",2019,3.5
roads-2019,"Roads",2019,4
avengers-endgame,"Avengers: Endgame",2019,4.5
the-collini-case,"The Collini Case",2019,3.5
after-2019,"After",2019,1.5
hellboy-2019,"Hellboy",2019,1.5
quicksand-2019,"Quicksand",2019,4
missing-link-2019,"Missing Link",2019,3.5
shazam,"Shazam!",2019,3.5
pet-sematary-2019,"Pet Sematary",2019,3
captive-state,"Captive State",2019,2.5
five-feet-apart,"Five Feet Apart",2019,3
dumbo-2019,"Dumbo",2019,2.5
good-boys-2019,"Good Boys",2019,3
the-highwaymen,"The Highwaymen",2019,3.5
booksmart,"Booksmart",2019,4
the-art-of-self-defense-2019,"The Art of Self-Defense",2019,3
the-beach-bum,"The Beach Bum",2019,3.5
long-shot-2019,"Long Shot",2019,3.5
the-peanut-butter-falcon,"The Peanut Butter Falcon",2019,3.5
us-2019,"Us",2019,3.5
yes-god-yes-2019,"Yes, God, Yes",2019,3.5
windstorm-4,"Windstorm 4",2019,2
the-goldfish-2019,"The Goldfish",2019,3
captain-marvel,"Captain Marvel",2019,3
happy-death-day-2u,"Happy Death Day 2U",2019,3
who-you-think-i-am,"Who You Think I Am",2019,3
the-golden-glove,"The Golden Glove",2019,1.5
ma-2019,"Ma",2019,3
what-men-want,"What Men Want",2019,2
system-crasher,"System Crasher",2019,4.5
cold-pursuit,"Cold Pursuit",2019,3
the-lego-movie-2-the-second-part,"The Lego Movie 2: The Second Part",2019,2.5
alita-battle-angel,"Alita: Battle Angel",2019,3
serial-bad-weddings-2,"Serial (Bad) Weddings 2",2019,2.5
fighting-with-my-family,"Fighting with My Family",2019,3.5
the-last-black-man-in-san-francisco,"The Last Black Man in San Francisco",2019,3.5
the-report-2019,"The Report",2019,4
i-am-mother,"I Am Mother",2019,3
late-night,"Late Night",2019,3
the-farewell-2019,"The Farewell",2019,4
serenity-2019,"Serenity",2019,2.5
iron-sky-the-coming-race,"Iron Sky: The Coming Race",2019,1
polaroid-2019,"Polaroid",2019,2
glass-2019,"Glass",2019,2.5
how-to-train-your-dragon-the-hidden-world,"How to Train Your Dragon: The Hidden World",2019,4.5
escape-room-2019,"Escape Room",2019,2.5
black-mirror-bandersnatch,"Black Mirror: Bandersnatch",2018,3.5
welcome-to-marwen,"Welcome to Marwen",2018,3.5
all-about-me,"All About Me",2018,3.5
vice-2018,"Vice",2018,4.5
the-mule-2018,"The Mule",2018,3.5
100-things,"100 Things",2018,3.5
spider-man-into-the-spider-verse,"Spider-Man: Into the Spider-Verse",2018,4
mary-poppins-returns,"Mary Poppins Returns",2018,2.5
the-possession-of-hannah-grace,"The Possession of Hannah Grace",2018,1
mortal-engines,"Mortal Engines",2018,2.5
aquaman-2018,"Aquaman",2018,3
mowgli-legend-of-the-jungle,"Mowgli: Legend of the Jungle",2018,2.5
the-christmas-chronicles,"The Christmas Chronicles",2018,3
bumblebee,"Bumblebee",2018,3
mary-queen-of-scots-2018,"Mary Queen of Scots",2018,3
creed-ii,"Creed II",2018,4
instant-family,"Instant Family",2018,3.5
bird-box,"Bird Box",2018,3
fantastic-beasts-the-crimes-of-grindelwald,"Fantastic Beasts: The Crimes of Grindelwald",2018,3.5
the-grinch,"The Grinch",2018,3
ralph-breaks-the-internet,"Ralph Breaks the Internet",2018,3.5
robin-hood-2018,"Robin Hood",2018,1.5
25-km-h,"25 km/h",2018,3.5
the-nutcracker-and-the-four-realms,"The Nutcracker and the Four Realms",2018,1.5
wuff,"Wuff",2018,2
the-girl-in-the-spiders-web,"The Girl in the Spider's Web",2018,2
bohemian-rhapsody,"Bohemian Rhapsody",2018,4
hunter-killer-2018,"Hunter Killer",2018,1.5
master-z-ip-man-legacy,"Master Z: Ip Man Legacy",2018,3
how-about-adolf,"How About Adolf?",2018,4
the-professor-2018,"The Professor",2018,3
the-tobacconist,"The Tobacconist",2018,2
the-purity-of-vengeance,"The Purity of Vengeance",2018,3
venom-2018,"Venom",2018,3
balloon-2018,"Balloon",2018,4
bad-times-at-the-el-royale,"Bad Times at the El Royale",2018,3.5
night-school-2018,"Night School",2018,1.5
overlord-2018,"Overlord",2018,3.5
maniac-2018,"Maniac",2018,4
apostle-2018,"Apostle",2018,2
class-reunion-10,"Class Reunion 1.0",2018,1.5
smallfoot,"Smallfoot",2018,3.5
johnny-english-strikes-again,"Johnny English Strikes Again",2018,2.5
a-simple-favor,"A Simple Favor",2018,3
green-book,"Green Book",2018,4.5
mid90s,"mid90s",2018,4
if-beale-street-could-talk,"If Beale Street Could Talk",2018,4
halloween-2018,"Halloween",2018,3
widows-2018,"Widows",2018,4
ben-is-back,"Ben Is Back",2018,3.5
beautiful-boy-2018,"Beautiful Boy",2018,3.5
the-hate-u-give,"The Hate U Give",2018,4
outlaw-king,"Outlaw King",2018,3.5
the-predator,"The Predator",2018,2.5
the-house-with-a-clock-in-its-walls,"The House with a Clock in Its Walls",2018,3
the-nun-2018,"The Nun",2018,2
never-look-away,"Never Look Away",2018,3.5
at-eternitys-gate,"At Eternity's Gate",2018,4
suspiria-2018,"Suspiria",2018,2.5
boy-erased,"Boy Erased",2018,4
a-star-is-born-2018,"A Star Is Born",2018,4.5
white-boy-rick-2018,"White Boy Rick",2018,3
the-old-man-the-gun,"The Old Man & the Gun",2018,4
the-ballad-of-buster-scruggs,"The Ballad of Buster Scruggs",2018,3.5
roma-2018,"Roma",2018,4
the-favourite,"The Favourite",2018,4
first-man,"First Man",2018,4.5
bodyguard-1,"Bodyguard",2018,4.5
ghoul-2018,"GHOUL",2018,3
the-happytime-murders,"The Happytime Murders",2018,2
alpha-2018,"Alpha",2018,3
to-all-the-boys-ive-loved-before,"To All the Boys I've Loved Before",2018,3.5
mile-22,"Mile 22",2018,2.5
crazy-rich-asians,"Crazy Rich Asians",2018,3.5
mia-and-the-white-lion,"Mia and the White Lion",2018,3
the-meg,"The Meg",2018,2
christopher-robin,"Christopher Robin",2018,2
father-of-the-year,"Father of the Year",2018,1
the-equalizer-2,"The Equalizer 2",2018,3
extinction,"Extinction",2018,1.5
how-it-ends,"How It Ends",2018,2.5
mission-impossible-fallout,"Mission: Impossible – Fallout",2018,3.5
cam,"Cam",2018,3
skyscraper-2018,"Skyscraper",2018,2
mamma-mia-here-we-go-again,"Mamma Mia! Here We Go Again",2018,3
the-first-purge,"The First Purge",2018,2
asphaltgorillas,"Asphaltgorillas",2018,4
the-most-beautiful-girl-in-the-world-2018,"The Most Beautiful Girl in the World",2018,4
hotel-transylvania-3-summer-vacation,"Hotel Transylvania 3: Summer Vacation",2018,2.5
the-fall-of-the-american-empire,"The Fall of the American Empire",2018,3.5
sicario-day-of-the-soldado,"Sicario: Day of the Soldado",2018,4
ant-man-and-the-wasp,"Ant-Man and the Wasp",2018,3
as-green-as-it-gets,"As Green As It Gets",2018,3
swimming-with-men,"Swimming with Men",2018,2
jurassic-world-fallen-kingdom,"Jurassic World: Fallen Kingdom",2018,3.5
oceans-eight,"Ocean's Eight",2018,2.5
incredibles-2,"Incredibles 2",2018,4
tag-2018,"Tag",2018,3
ibiza-2018,"Ibiza",2018,2
adrift-2018,"Adrift",2018,3
hotel-artemis,"Hotel Artemis",2018,3
girl-2018,"Girl",2018,4
slender-man,"Slender Man",2018,1
deadpool-2,"Deadpool 2",2018,3.5
blackkklansman,"BlacKkKlansman",2018,4
shoplifters,"Shoplifters",2018,4
asterix-the-secret-of-the-magic-potion,"Asterix: The Secret of the Magic Potion",2018,3
safe-2018-1,"Safe",2018,3.5
solo-a-star-wars-story,"Solo: A Star Wars Story",2018,3
life-of-the-party-2018,"Life of the Party",2018,2
